"","X.1","X","filename","time","species","spatial_angle","tracker_id","tracker_length","detection_depth","detection_length","spatial_dist","spatial_speed","site","tide","tide_type","camera_location","spatial_angle_simple","sinuosity","distance_to_pipe"
"4234",-0.00560907969444413,-0.0578783163455352,"C5_20210125_091220_C_Twin-13.mp4",-0.208184772066864,"Moses Perch",0.674161308113285,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.03129253645413,1.6487040036735,-0.300228863683136,-0.292307341274882,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4235",-0.00535910973511824,-0.0578383399775375,"C5_20210125_091220_C_Twin-13.mp4",-0.208177154382259,"Moses Perch",0.676420834658213,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.05195554060792,1.64719567001924,-0.743230070507897,-0.747259897573261,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4236",-0.00510913977579236,-0.0577983636095398,"C5_20210125_091220_C_Twin-13.mp4",-0.208169650394435,"Moses Perch",0.566571339423082,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.03707817761719,1.65247483780917,-0.645799279474241,-0.644403172729953,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4237",-0.00485916981646647,-0.0577583872415421,"C5_20210125_091220_C_Twin-13.mp4",-0.208162032709824,"Moses Perch",0.544752008623148,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.02674667554029,1.63437483395797,-0.536609758640174,-0.535065353587347,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4238",-0.00460919985714059,-0.0577184108735444,"C5_20210125_091220_C_Twin-13.mp4",-0.208154415025212,"Moses Perch",0.610348429495237,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.04121077844795,1.6249477486188,-0.601285236155773,-0.601485655320701,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4239",-0.0043592298978147,-0.0576784345055467,"C5_20210125_091220_C_Twin-13.mp4",-0.208146797340607,"Moses Perch",0.557850126545538,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.01682843354647,1.6238164983781,-0.556770359676178,-0.55576985018135,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4240",-0.00410925993848881,-0.057638458137549,"C5_20210125_091220_C_Twin-13.mp4",-0.208139293352783,"Moses Perch",0.520899129605092,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.00856323188496,1.6170289969339,-0.570930584170335,-0.566349681652369,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4241",-0.00385928997916293,-0.0575984817695513,"C5_20210125_091220_C_Twin-13.mp4",-0.208131675668171,"Moses Perch",0.441570593831491,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-0.995338909226528,1.62230816472383,-0.574465582139129,-0.573942456869017,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4242",0.0338861738790458,-0.0429271547143942,"C2_20210428_101112_D_Twin-82.mp4",0.479639847639909,"Moses Perch",0.382492698268258,"C2_20210428_101112_D_Twin-82.mp4_833",-1.04258561393859,-1.74912530075687,-1.31290912647944,-0.455456710267881,-0.44596373196067,"TWIN",0.919174395990899,"high","close","LEFT",1.1053230161247,-0.997201008981254
"4243",0.0340111588587088,-0.0429071665303953,"C2_20210428_101112_D_Twin-82.mp4",0.479647465324542,"Moses Perch",0.655649159750026,"C2_20210428_101112_D_Twin-82.mp4_833",-1.04258561393859,-1.78218610740294,-1.31931954451007,-0.309142957301548,-0.301461920576928,"TWIN",0.919174395990899,"high","close","LEFT",1.1053230161247,-0.997201008981254
